,Daily Cost of Bus,Daily Number of Riders,Ticket Price
0,400,20,7.50
1,400,25,7.50
2,400,30,7.50
3,400,35,7.50
4,400,40,7.50
5,400,45,7.50
6,400,50,7.50
7,400,55,7.50
8,400,60,7.50
9,400,65,7.50
10,400,70,7.50
11,400,75,7.50
12,400,80,7.50
13,400,85,7.50
14,400,90,7.50
15,400,95,7.50
16,400,100,7.50
17,400,105,7.50
18,400,110,7.50
19,400,115,7.50
20,400,120,7.50
21,400,125,7.50
22,400,130,7.50
23,400,135,7.50
24,400,140,7.50
25,400,145,7.50
26,400,150,7.50
27,400,155,7.50
28,400,160,7.50
29,400,165,7.50
30,400,170,7.50
31,400,175,7.50
32,400,180,7.50
33,400,185,7.50
34,400,190,7.50
35,400,195,7.50
36,400,200,7.50
37,400,205,7.50
38,400,210,7.50
39,400,215,7.50
40,400,220,7.50
41,400,225,7.50
42,400,230,7.50
43,400,235,7.50
44,400,240,7.50
45,400,245,7.50
46,400,250,7.50
47,400,255,7.50
48,400,260,7.50
49,400,20,8.00
50,400,25,8.00
51,400,30,8.00
52,400,35,8.00
53,400,40,8.00
54,400,45,8.00
55,400,50,8.00
56,400,55,8.00
57,400,60,8.00
58,400,65,8.00
59,400,70,8.00
60,400,75,8.00
61,400,80,8.00
62,400,85,8.00
63,400,90,8.00
64,400,95,8.00
65,400,100,8.00
66,400,105,8.00
67,400,110,8.00
68,400,115,8.00
69,400,120,8.00
70,400,125,8.00
71,400,130,8.00
72,400,135,8.00
73,400,140,8.00
74,400,145,8.00
75,400,150,8.00
76,400,155,8.00
77,400,160,8.00
78,400,165,8.00
79,400,170,8.00
80,400,175,8.00
81,400,180,8.00
82,400,185,8.00
83,400,190,8.00
84,400,195,8.00
85,400,200,8.00
86,400,205,8.00
87,400,210,8.00
88,400,215,8.00
89,400,220,8.00
90,400,225,8.00
91,400,230,8.00
92,400,235,8.00
93,400,240,8.00
94,400,245,8.00
95,400,250,8.00
96,400,255,8.00
97,400,260,8.00
98,400,20,8.50
99,400,25,8.50
100,400,30,8.50
101,400,35,8.50
102,400,40,8.50
103,400,45,8.50
104,400,50,8.50
105,400,55,8.50
106,400,60,8.50
107,400,65,8.50
108,400,70,8.50
109,400,75,8.50
110,400,80,8.50
111,400,85,8.50
112,400,90,8.50
113,400,95,8.50
114,400,100,8.50
115,400,105,8.50
116,400,110,8.50
117,400,115,8.50
118,400,120,8.50
119,400,125,8.50
120,400,130,8.50
121,400,135,8.50
122,400,140,8.50
123,400,145,8.50
124,400,150,8.50
125,400,155,8.50
126,400,160,8.50
127,400,165,8.50
128,400,170,8.50
129,400,175,8.50
130,400,180,8.50
131,400,185,8.50
132,400,190,8.50
133,400,195,8.50
134,400,200,8.50
135,400,205,8.50
136,400,210,8.50
137,400,215,8.50
138,400,220,8.50
139,400,225,8.50
140,400,230,8.50
141,400,235,8.50
142,400,240,8.50
143,400,245,8.50
144,400,250,8.50
145,400,255,8.50
146,400,260,8.50
147,400,20,9.00
148,400,25,9.00
149,400,30,9.00
150,400,35,9.00
151,400,40,9.00
152,400,45,9.00
153,400,50,9.00
154,400,55,9.00
155,400,60,9.00
156,400,65,9.00
157,400,70,9.00
158,400,75,9.00
159,400,80,9.00
160,400,85,9.00
161,400,90,9.00
162,400,95,9.00
163,400,100,9.00
164,400,105,9.00
165,400,110,9.00
166,400,115,9.00
167,400,120,9.00
168,400,125,9.00
169,400,130,9.00
170,400,135,9.00
171,400,140,9.00
172,400,145,9.00
173,400,150,9.00
174,400,155,9.00
175,400,160,9.00
176,400,165,9.00
177,400,170,9.00
178,400,175,9.00
179,400,180,9.00
180,400,185,9.00
181,400,190,9.00
182,400,195,9.00
183,400,200,9.00
184,400,205,9.00
185,400,210,9.00
186,400,215,9.00
187,400,220,9.00
188,400,225,9.00
189,400,230,9.00
190,400,235,9.00
191,400,240,9.00
192,400,245,9.00
193,400,250,9.00
194,400,255,9.00
195,400,260,9.00
196,400,20,9.50
197,400,25,9.50
198,400,30,9.50
199,400,35,9.50
200,400,40,9.50
201,400,45,9.50
202,400,50,9.50
203,400,55,9.50
204,400,60,9.50
205,400,65,9.50
206,400,70,9.50
207,400,75,9.50
208,400,80,9.50
209,400,85,9.50
210,400,90,9.50
211,400,95,9.50
212,400,100,9.50
213,400,105,9.50
214,400,110,9.50
215,400,115,9.50
216,400,120,9.50
217,400,125,9.50
218,400,130,9.50
219,400,135,9.50
220,400,140,9.50
221,400,145,9.50
222,400,150,9.50
223,400,155,9.50
224,400,160,9.50
225,400,165,9.50
226,400,170,9.50
227,400,175,9.50
228,400,180,9.50
229,400,185,9.50
230,400,190,9.50
231,400,195,9.50
232,400,200,9.50
233,400,205,9.50
234,400,210,9.50
235,400,215,9.50
236,400,220,9.50
237,400,225,9.50
238,400,230,9.50
239,400,235,9.50
240,400,240,9.50
241,400,245,9.50
242,400,250,9.50
243,400,255,9.50
244,400,260,9.50
245,400,20,10.00
246,400,25,10.00
247,400,30,10.00
248,400,35,10.00
249,400,40,10.00
250,400,45,10.00
251,400,50,10.00
252,400,55,10.00
253,400,60,10.00
254,400,65,10.00
255,400,70,10.00
256,400,75,10.00
257,400,80,10.00
258,400,85,10.00
259,400,90,10.00
260,400,95,10.00
261,400,100,10.00
262,400,105,10.00
263,400,110,10.00
264,400,115,10.00
265,400,120,10.00
266,400,125,10.00
267,400,130,10.00
268,400,135,10.00
269,400,140,10.00
270,400,145,10.00
271,400,150,10.00
272,400,155,10.00
273,400,160,10.00
274,400,165,10.00
275,400,170,10.00
276,400,175,10.00
277,400,180,10.00
278,400,185,10.00
279,400,190,10.00
280,400,195,10.00
281,400,200,10.00
282,400,205,10.00
283,400,210,10.00
284,400,215,10.00
285,400,220,10.00
286,400,225,10.00
287,400,230,10.00
288,400,235,10.00
289,400,240,10.00
290,400,245,10.00
291,400,250,10.00
292,400,255,10.00
293,400,260,10.00
294,400,20,10.50
295,400,25,10.50
296,400,30,10.50
297,400,35,10.50
298,400,40,10.50
299,400,45,10.50
300,400,50,10.50
301,400,55,10.50
302,400,60,10.50
303,400,65,10.50
304,400,70,10.50
305,400,75,10.50
306,400,80,10.50
307,400,85,10.50
308,400,90,10.50
309,400,95,10.50
310,400,100,10.50
311,400,105,10.50
312,400,110,10.50
313,400,115,10.50
314,400,120,10.50
315,400,125,10.50
316,400,130,10.50
317,400,135,10.50
318,400,140,10.50
319,400,145,10.50
320,400,150,10.50
321,400,155,10.50
322,400,160,10.50
323,400,165,10.50
324,400,170,10.50
325,400,175,10.50
326,400,180,10.50
327,400,185,10.50
328,400,190,10.50
329,400,195,10.50
330,400,200,10.50
331,400,205,10.50
332,400,210,10.50
333,400,215,10.50
334,400,220,10.50
335,400,225,10.50
336,400,230,10.50
337,400,235,10.50
338,400,240,10.50
339,400,245,10.50
340,400,250,10.50
341,400,255,10.50
342,400,260,10.50
343,400,20,11.00
344,400,25,11.00
345,400,30,11.00
346,400,35,11.00
347,400,40,11.00
348,400,45,11.00
349,400,50,11.00
350,400,55,11.00
351,400,60,11.00
352,400,65,11.00
353,400,70,11.00
354,400,75,11.00
355,400,80,11.00
356,400,85,11.00
357,400,90,11.00
358,400,95,11.00
359,400,100,11.00
360,400,105,11.00
361,400,110,11.00
362,400,115,11.00
363,400,120,11.00
364,400,125,11.00
365,400,130,11.00
366,400,135,11.00
367,400,140,11.00
368,400,145,11.00
369,400,150,11.00
370,400,155,11.00
371,400,160,11.00
372,400,165,11.00
373,400,170,11.00
374,400,175,11.00
375,400,180,11.00
376,400,185,11.00
377,400,190,11.00
378,400,195,11.00
379,400,200,11.00
380,400,205,11.00
381,400,210,11.00
382,400,215,11.00
383,400,220,11.00
384,400,225,11.00
385,400,230,11.00
386,400,235,11.00
387,400,240,11.00
388,400,245,11.00
389,400,250,11.00
390,400,255,11.00
391,400,260,11.00
392,400,20,11.50
393,400,25,11.50
394,400,30,11.50
395,400,35,11.50
396,400,40,11.50
397,400,45,11.50
398,400,50,11.50
399,400,55,11.50
400,400,60,11.50
401,400,65,11.50
402,400,70,11.50
403,400,75,11.50
404,400,80,11.50
405,400,85,11.50
406,400,90,11.50
407,400,95,11.50
408,400,100,11.50
409,400,105,11.50
410,400,110,11.50
411,400,115,11.50
412,400,120,11.50
413,400,125,11.50
414,400,130,11.50
415,400,135,11.50
416,400,140,11.50
417,400,145,11.50
418,400,150,11.50
419,400,155,11.50
420,400,160,11.50
421,400,165,11.50
422,400,170,11.50
423,400,175,11.50
424,400,180,11.50
425,400,185,11.50
426,400,190,11.50
427,400,195,11.50
428,400,200,11.50
429,400,205,11.50
430,400,210,11.50
431,400,215,11.50
432,400,220,11.50
433,400,225,11.50
434,400,230,11.50
435,400,235,11.50
436,400,240,11.50
437,400,245,11.50
438,400,250,11.50
439,400,255,11.50
440,400,260,11.50
441,400,20,12.00
442,400,25,12.00
443,400,30,12.00
444,400,35,12.00
445,400,40,12.00
446,400,45,12.00
447,400,50,12.00
448,400,55,12.00
449,400,60,12.00
450,400,65,12.00
451,400,70,12.00
452,400,75,12.00
453,400,80,12.00
454,400,85,12.00
455,400,90,12.00
456,400,95,12.00
457,400,100,12.00
458,400,105,12.00
459,400,110,12.00
460,400,115,12.00
461,400,120,12.00
462,400,125,12.00
463,400,130,12.00
464,400,135,12.00
465,400,140,12.00
466,400,145,12.00
467,400,150,12.00
468,400,155,12.00
469,400,160,12.00
470,400,165,12.00
471,400,170,12.00
472,400,175,12.00
473,400,180,12.00
474,400,185,12.00
475,400,190,12.00
476,400,195,12.00
477,400,200,12.00
478,400,205,12.00
479,400,210,12.00
480,400,215,12.00
481,400,220,12.00
482,400,225,12.00
483,400,230,12.00
484,400,235,12.00
485,400,240,12.00
486,400,245,12.00
487,400,250,12.00
488,400,255,12.00
489,400,260,12.00
490,400,20,12.50
491,400,25,12.50
